Test (2C): Figure 8 (unreliable) ...
len 0, committed 0, id 0
len 0, committed 0, id 1
len 0, committed 0, id 3
len 0, committed 0, id 2
len 0, committed 0, id 4
len 0, committed 0, id 0
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 3
len 0, committed 0, id 0
len 0, committed 0, id 2
len 0, committed 0, id 4
len 0, committed 0, id 3
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 1
len 0, committed 0, id 0
len 0, committed 0, id 4
len 0, committed 0, id 3
len 0, committed 0, id 3
len 0, committed 0, id 1
len 0, committed 0, id 0
len 0, committed 0, id 2
len 0, committed 0, id 4
len 0, committed 0, id 3
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 0
len 0, committed 0, id 2
len 0, committed 0, id 0
len 0, committed 0, id 4
len 0, committed 0, id 3
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 0
len 0, committed 0, id 3
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 0
len 0, committed 0, id 2
len 0, committed 0, id 3
len 0, committed 0, id 1
len 0, committed 0, id 4
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 3
len 0, committed 0, id 2
len 0, committed 0, id 0
len 0, committed 0, id 4
len 0, committed 0, id 0
len 0, committed 0, id 3
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 4
len 0, committed 0, id 2
len 0, committed 0, id 1
len 0, committed 0, id 0
len 0, committed 0, id 3
len 0, committed 0, id 3
len 0, committed 0, id 2
len 0, committed 0, id 1
len 0, committed 0, id 4
len 0, committed 0, id 0
len 0, committed 0, id 3
len 0, committed 0, id 0
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 2
len 0, committed 0, id 2
len 0, committed 0, id 3
len 0, committed 0, id 4
len 0, committed 0, id 1
len 0, committed 0, id 0
len 0, committed 0, id 2
len 0, committed 0, id 4
